id,name,lat,lon
KVAX,Moody AFB GA,30.890,-83.002
KJAX,Jacksonville FL,30.485,-81.702
KMLB,Melbourne FL,28.113,-80.654
KAMX,Miami FL,25.611,-80.413
KBYX,Key West FL,24.597,-81.703
KTLH,Tallahassee FL,30.398,-84.329
KMOB,Mobile AL,30.679,-88.240
KLIX,New Orleans/Baton Rouge LA,30.337,-89.825
KPOE,Fort Polk LA,31.156,-92.976
KSHV,Shreveport LA,32.451,-93.841
KLZK,Little Rock AR,34.836,-92.262
KSRX,Fort Smith AR,35.290,-94.362
KPAH,Paducah KY,37.068,-88.772
KHPX,Fort Campbell KY,36.737,-87.285
KNQA,Memphis TN,35.345,-89.873
KOHX,Nashville TN,36.247,-86.563
KGSP,Greer SC,34.883,-82.220
KCAE,Columbia SC,33.949,-81.119
KCLX,Charleston SC,32.655,-81.042
KRAX,Raleigh/Durham NC,35.665,-78.490
KLTX,Wilmington NC,33.989,-78.429
KMHX,Morehead City NC,34.776,-76.876
KAKQ,Norfolk/Richmond VA,36.984,-77.008
KFCX,Roanoke VA,37.024,-80.274
KLWX,Sterling VA,38.976,-77.487
KPBZ,Pittsburgh PA,40.532,-80.218
KCCX,State College PA,40.923,-78.004
KDIX,Philadelphia PA,39.947,-74.411
KDOX,Dover AFB DE,38.826,-75.440
KOKX,New York City NY,40.865,-72.864
KENX,Albany NY,42.586,-74.064
KBGM,Binghamton NY,42.200,-75.985
KBUF,Buffalo NY,42.949,-78.737
KTYX,Montague NY,43.756,-75.680
KCXX,Burlington VT,44.511,-73.167
KGYX,Portland ME,43.891,-70.256
KCBW,Caribou ME,46.039,-67.806
KBOX,Boston MA,41.956,-71.137
KGSP,Greer SC,34.883,-82.220
KCAE,Columbia SC,33.949,-81.119
KCLX,Charleston SC,32.655,-81.042
KRAX,Raleigh/Durham NC,35.665,-78.490
KLTX,Wilmington NC,33.989,-78.429
KMHX,Morehead City NC,34.776,-76.876
KAKQ,Norfolk/Richmond VA,36.984,-77.008
KFCX,Roanoke VA,37.024,-80.274
KLWX,Sterling VA,38.976,-77.487
KPBZ,Pittsburgh PA,40.532,-80.218
KCCX,State College PA,40.923,-78.004
KDIX,Philadelphia PA,39.947,-74.411
KDOX,Dover AFB DE,38.826,-75.440
KOKX,New York City NY,40.865,-72.864
KENX,Albany NY,42.586,-74.064
KBGM,Binghamton NY,42.200,-75.985
KBUF,Buffalo NY,42.949,-78.737
KTYX,Montague NY,43.756,-75.680
KCXX,Burlington VT,44.511,-73.167
KGYX,Portland ME,43.891,-70.256
KCBW,Caribou ME,46.039,-67.806
KBOX,Boston MA,41.956,-71.137
KMQT,Marquette MI,46.531,-87.548
KAPX,Gaylord MI,44.907,-84.720
KDTX,Detroit/White Lake MI,42.700,-83.472
KGRR,Grand Rapids MI,42.894,-85.545
KIWX,Northern Indiana,41.359,-85.700
KVWX,Evansville IN,38.260,-87.724
KIND,Indianapolis IN,39.708,-86.280
KLOT,Chicago IL,41.604,-88.085
KILX,Central Illinois,40.150,-89.337
KDVN,Quad Cities IA,41.612,-90.581
KDMX,Des Moines IA,41.731,-93.723
KARX,La Crosse WI,43.823,-91.191
KMKX,Milwaukee WI,42.968,-88.551
KGRB,Green Bay WI,44.499,-88.111
KDLH,Duluth MN,46.837,-92.210
KMPX,Minneapolis/St.Paul MN,44.849,-93.565
KABR,Aberdeen SD,45.456,-98.413
KFSD,Sioux Falls SD,43.588,-96.729
KUDX,Rapid City SD,44.125,-102.830
KBIS,Bismarck ND,46.771,-100.760
KMVX,Grand Forks ND,47.528,-97.325
KMBX,Minot AFB ND,48.393,-100.864
KGLD,Goodland KS,39.367,-101.700
KUEX,Hastings NE,40.321,-98.442
KLNX,North Platte NE,41.958,-100.576
KOAX,Omaha NE,41.320,-96.367
KGJX,Grand Junction CO,39.062,-108.214
KFTG,Denver/Boulder CO,39.786,-104.546
KCYS,Cheyenne WY,41.152,-104.806
KRIW,Riverton WY,43.066,-108.477
KBLX,Billings MT,45.854,-108.607
KGGW,Glasgow MT,48.206,-106.625
KTFX,Great Falls MT,47.459,-111.385
KMSX,Missoula MT,47.041,-113.986
KSFX,Pocatello/Idaho Falls ID,43.106,-112.686
KBOI,Boise ID,43.566,-116.223
KMTX,Salt Lake City UT,41.263,-112.448
KICX,Cedar City UT,37.591,-112.862
KFSX,Flagstaff AZ,34.574,-111.198
KIWA,Phoenix AZ,33.289,-111.670
KEMX,Tucson AZ,31.894,-110.630
KYUX,Yuma AZ,32.495,-114.657
KNKX,San Diego CA,32.919,-117.042
KSOX,Santa Ana Mountains CA,33.818,-117.636
KVTX,Los Angeles CA,34.412,-119.179
KHNX,San Joaquin Valley CA,36.314,-119.632
KDAX,Sacramento CA,38.501,-121.678
KBBX,Beale AFB CA,39.496,-121.632
KMUX,San Francisco Bay Area CA,37.155,-121.898
KMAX,Medford OR,42.081,-122.717
KRTX,Portland OR,45.715,-122.965
KATX,Seattle/Tacoma WA,48.194,-122.496
KOTX,Spokane WA,47.680,-117.626
